INSURANCE TYPE,VEHICLE TYPE,VEHICLE USE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE MAKE YEAR,SUM INSURED,POLICY PREMIUM,Rate
Comprehensive,Car,Private,Toyota,Prius,2011,6495000,88691.98,1.365542417
Comprehensive,Car,Private,Nissan,Sunny,1999,2450000,35266.26,1.439439184
Comprehensive,Truck,Private,Tata,Dimo Batta,2013,1800000,35278.05,1.959891667
Comprehensive,Car,Private,Honda,Fit,2012,7150000,97342.67,1.361435944
Comprehensive,Car,Private,Honda,CRV,2018,24000000,319891.21,1.332880042
Comprehensive,Car,Private,Toyota,Aqua,2014,7775000,105597.47,1.358166817
Comprehensive,Car,Private,Toyota,CHR,2018,15975000,213900.53,1.338970454
Comprehensive,Car,Private,Honda,Grace,2017,11700000,157437.62,1.345620684
Comprehensive,Car,Private,Jaguar,S-Type,2007,8800000,119134.85,1.353805114
Comprehensive,van,Private,Toyota,Townace,1996,4590000,63530.71,1.384111329
Comprehensive,Car,Private,Suzuki,Wagon R,2018,5990000,82021.77,1.369311686
Comprehensive,Car,Private,Toyota,Corolla 110,1997,3775000,52766.58,1.397790199
Comprehensive,Car,Private,Nissan,X-Trail,2011,11600000,156116.97,1.345835948
Comprehensive,Car,Private,Suzuki,Alto Sport,2007,2265000,32822.91,1.449135099
Comprehensive,Car,Private,Toyota,CHR,2019,16990000,227305.95,1.337880812
Comprehensive,Car,Private,Honda,Vezel RS,2018,15700000,210268.5,1.339289809
Comprehensive,Car,Private,Honda,CRV,2015,19000000,253852.85,1.336067632
Comprehensive,Car,Private,BMW,X1,2018,22500000,300080.5,1.333691111
Comprehensive,Car,Private,Mitsubishi,Montero,2001,11950000,160739.73,1.345102343
Comprehensive,Car,Private,BMW,420i COUPE SPORT,2017,37500000,498194.57,1.328518853
Comprehensive,Car,Private,suzuki,Alto,2017,5425000,74559.76,1.374373456
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2010,34800000,462534.1,1.329120977
Comprehensive,Car,Private,Toyota,Corolla,1984,850000,14133.91,1.662812941
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2003,14500000,194418.73,1.340818828
Comprehensive,Car,Private,Toyota,Allion,2014,12875000,172956.47,1.343351223
Comprehensive,Car,Private,Mercedes Benz,C200,2019,31000000,412345.51,1.330146806
Comprehensive,Car,Private,Mitsubishi,Lancer,1980,650000,11492.61,1.768093846
Comprehensive,Car,Private,Suzuki,Alto,2015,2800000,39889.02,1.424607857
Comprehensive,Car,Private,Toyota,Aqua,2013,7950000,107908.85,1.357344025
Comprehensive,Car,Private,Mitsubishi,Outlander,2014,14000000,187815.5,1.341539286
Comprehensive,Car,Private,Toyota,CHR,2017,15200000,203664.26,1.339896447
Comprehensive,Car,Private,Toyota,Premio,2013,13200000,177249.32,1.342797879
Comprehensive,Car,Private,Ford,Ranger,2016,29500000,392533.8,1.330623051
Comprehensive,Car,Private,Toyota,Prius,2012,8900000,120455.5,1.353432584
Comprehensive,Car,Private,Honda,Vezel,2015,11250000,151494.2,1.346615111
