iter	RMSE
0	810415.6694
1	771252.6571
2	733791.2004
3	698354.5782
4	664868.5454
5	633108.4385
6	602575.5078
7	573923.1726
8	546291.3101
9	520509.3296
10	495692.5566
11	471850.0239
12	449315.3101
13	427770.4058
14	407883.1925
15	388362.0464
16	370004.9085
17	352309.5384
18	335713.8802
19	319716.3258
20	304589.94
21	290234.8302
22	276631.7639
23	263549.5538
24	251136.5111
25	239706.8076
26	228550.2524
27	217817.5663
28	207800.4353
29	198306.0047
30	189223.2913
31	180642.7592
32	172381.6673
33	164634.5931
34	157311.1601
35	150312.2943
36	143772.562
37	137488.7545
38	131694.7497
39	126028.1629
40	120777.237
41	115689.2561
42	110635.7686
43	106065.8138
44	101425.4171
45	97297.93903
46	93206.90516
47	89398.96249
48	85663.27686
49	82418.94764
50	79079.53433
51	76166.11062
52	73231.21254
53	70304.24793
54	67540.11563
55	64939.20219
56	62586.65799
57	60221.91351
58	58171.34034
59	56355.38147
60	54630.1166
61	52785.09505
62	51239.85616
63	49513.23443
64	47960.88189
65	46693.15745
66	45302.95759
67	44125.18985
68	43026.02389
69	41846.89151
70	40972.67075
71	39955.46664
72	39109.29872
73	38077.35007
74	37066.14303
75	36302.63491
76	35595.91697
77	34985.66404
78	34096.02095
79	33306.13218
80	32550.81519
81	31826.06182
82	31377.64977
83	30743.54318
84	30126.3196
85	29557.21698
86	29070.49074
87	28561.29853
88	27967.60232
89	27677.7442
90	27252.17959
91	26962.20967
92	26475.23767
93	26146.17872
94	25911.19237
95	25476.75985
96	25035.84437
97	24834.20801
98	24636.78932
99	24470.71876
100	24143.38806
101	23996.07484
102	23794.38534
103	23624.3587
104	23486.94509
105	23313.97322
106	22993.22201
107	22686.27911
108	22559.67638
109	22323.91739
110	22049.27782
111	21920.99571
112	21782.95352
113	21647.25247
114	21481.99601
115	21322.95656
116	21182.65263
117	21093.87603
118	20910.94598
119	20778.69924
120	20659.20014
121	20576.66113
122	20496.41848
123	20256.07774
124	20044.35832
125	19962.91562
126	19835.1543
127	19772.43938
128	19572.6559
129	19374.96784
130	19180.80328
131	19068.9279
132	18973.87887
133	18892.98701
134	18748.19439
135	18637.97265
136	18560.18285
137	18448.10621
138	18336.49867
139	18277.47188
140	18148.99897
141	18048.64046
142	17937.23626
143	17901.74437
144	17822.45299
145	17683.66281
146	17567.64336
147	17467.5676
148	17427.97603
149	17343.89598
150	17268.98594
151	17214.48298
152	17163.9503
153	17042.84733
154	16988.06737
155	16901.57248
156	16856.19089
157	16810.45857
158	16750.28505
159	16653.56842
160	16585.06235
161	16540.23871
162	16499.48817
163	16487.45995
164	16466.49706
165	16380.02884
166	16342.68281
167	16294.29173
168	16276.83922
169	16199.13632
170	16103.21442
171	16039.59924
172	15997.45215
173	15970.995
174	15920.32158
175	15916.71579
176	15822.52721
177	15714.87431
178	15706.47286
179	15666.93476
180	15577.02102
181	15522.89425
182	15522.68968
183	15493.41718
184	15427.19222
185	15370.43646
186	15307.60588
187	15284.24142
188	15241.07444
189	15189.52676
190	15155.54189
191	15131.2468
192	15088.69075
193	15075.60247
194	15039.18593
195	14967.21703
196	14903.88071
197	14816.25634
198	14757.5581
199	14663.61869
200	14640.15887
201	14613.81365
202	14572.66828
203	14507.55399
204	14488.28538
205	14451.5518
206	14387.38835
207	14356.75399
208	14331.68299
209	14292.27727
210	14262.14096
211	14251.50553
212	14221.65583
213	14144.23261
214	14095.15857
215	14050.58903
216	14029.98385
217	13998.96446
218	13996.46337
219	13976.24305
220	13976.08949
221	13966.37205
222	13950.47026
223	13942.8085
224	13921.51415
225	13870.73023
226	13867.6154
227	13839.44622
228	13798.08802
229	13750.45258
230	13696.63715
231	13678.12664
232	13642.35358
233	13617.71983
234	13577.20289
235	13522.87625
236	13520.44362
237	13445.08921
238	13426.23269
239	13396.02001
240	13353.29554
241	13345.54943
242	13325.93385
243	13254.38314
244	13245.88513
245	13203.79772
246	13178.07231
247	13171.01412
248	13163.95988
249	13131.66787
250	13083.06228
251	13060.57082
252	13053.56136
253	12993.45875
254	12963.25002
255	12923.19203
256	12870.18413
257	12870.01076
258	12847.21653
259	12802.77395
260	12794.45349
261	12783.37171
262	12718.42087
263	12658.23206
264	12658.07671
265	12634.59429
266	12607.20848
267	12590.82654
268	12543.76434
269	12508.40717
270	12503.63219
271	12489.23309
272	12454.10328
273	12380.50782
274	12380.35735
275	12342.95018
276	12306.46635
277	12301.86863
278	12275.7857
279	12275.64493
280	12270.17915
281	12264.50054
282	12233.6377
283	12201.10464
284	12141.54779
285	12135.28938
286	12115.16942
287	12111.38722
288	12104.67863
289	12099.06395
290	12023.33364
291	12008.48843
292	11965.06027
293	11957.71373
294	11918.68133
295	11912.2548
296	11905.98788
297	11889.83696
298	11879.10183
299	11820.61007
300	11772.42513
301	11723.47217
302	11717.53782
303	11711.83778
304	11693.15865
305	11683.46665
306	11639.96075
307	11627.03704
308	11621.62965
309	11576.8091
310	11572.77604
311	11568.22927
312	11564.11214
313	11532.66498
314	11519.5855
315	11489.57552
316	11483.80247
317	11444.65235
318	11439.72525
319	11428.7722
320	11381.28355
321	11349.32753
322	11340.82682
323	11314.98108
324	11303.88288
325	11299.2205
326	11294.09218
327	11263.95574
328	11222.54643
329	11189.56842
330	11181.75731
331	11177.76232
332	11159.69959
333	11146.20679
334	11112.56012
335	11074.57401
336	11033.38367
337	10990.60292
338	10958.19219
339	10952.73827
340	10921.75151
341	10895.94236
342	10872.49632
343	10853.74895
344	10849.56825
345	10834.94797
346	10788.50503
347	10764.22691
348	10723.73692
349	10698.44007
350	10660.90532
351	10637.75028
352	10633.5603
353	10623.01176
354	10586.83793
355	10565.29663
356	10555.87661
357	10542.8219
358	10487.49433
359	10455.92875
360	10422.18601
361	10392.25597
362	10382.04977
363	10354.68666
364	10322.36779
365	10307.7614
366	10302.50756
367	10277.50176
368	10264.22263
369	10238.66056
370	10209.05596
371	10184.32425
372	10169.00673
373	10161.94222
374	10134.1301
375	10112.97435
376	10086.41296
377	10077.98377
378	10043.10165
379	10017.694
380	9996.787932
381	9990.104778
382	9960.738568
383	9940.51551
384	9897.027513
385	9877.447159
386	9858.367341
387	9834.949913
388	9788.023227
389	9769.778096
390	9751.995637
391	9717.287898
392	9700.263868
393	9683.669881
394	9667.493999
395	9649.649459
396	9633.914913
397	9620.526386
398	9605.168044
399	9580.846688
400	9547.021864
401	9528.271897
402	9506.811992
403	9463.600332
404	9441.822023
405	9415.098947
406	9400.42742
407	9397.612189
408	9357.399541
409	9342.332602
410	9312.811424
411	9290.040791
412	9276.147352
413	9262.609331
414	9249.416576
415	9236.559321
416	9215.342841
417	9203.043944
418	9173.326802
419	9163.125971
420	9150.534643
421	9130.561148
422	9108.288071
423	9081.566246
424	9065.200908
425	9053.582546
426	9036.006453
427	9024.667437
428	9007.236372
429	8984.435428
430	8973.402605
431	8962.646681
432	8933.260433
433	8919.269362
434	8906.445097
435	8895.892867
436	8866.724678
437	8857.046865
438	8847.616422
439	8831.519587
440	8818.614989
441	8806.816625
442	8797.790181
443	8773.79437
444	8764.211727
445	8751.504002
446	8742.241347
447	8730.136387
448	8721.139322
449	8699.564853
450	8689.201351
451	8679.907606
452	8655.932078
453	8647.13236
454	8629.933529
455	8621.351772
456	8612.997408
457	8604.86378
458	8596.03293
459	8577.646788
460	8551.060257
461	8540.508513
462	8513.236432
463	8502.476888
464	8485.067672
465	8458.861662
466	8445.239761
467	8425.99028
468	8408.298974
469	8396.177995
470	8387.934528
471	8380.38397
472	8359.360538
473	8356.730951
474	8349.385181
475	8346.880974
476	8331.369802
477	8324.119833
478	8314.299061
479	8295.531683
480	8288.263229
481	8276.982962
482	8269.89637
483	8252.448762
484	8237.302107
485	8230.524409
486	8215.953912
487	8193.608553
488	8187.132311
489	8180.825242
490	8174.68257
491	8155.294999
492	8144.55405
493	8133.619556
494	8127.483136
495	8122.444177
496	8108.662204
497	8098.418488
498	8086.640719
499	8080.659513
