iter	Passed	Remaining
0	213	106403
1	304	75860
2	385	63788
3	476	59036
4	565	56003
5	654	53847
6	744	52432
7	835	51404
8	924	50430
9	1013	49665
10	1084	48228
11	1159	47148
12	1231	46143
13	1314	45639
14	1395	45112
15	1480	44790
16	1566	44513
17	1652	44254
18	1737	43974
19	1830	43925
20	1916	43719
21	1990	43254
22	2078	43111
23	2170	43049
24	2257	42899
25	2341	42688
26	2392	41912
27	2473	41693
28	2545	41334
29	2632	41235
30	2723	41198
31	2805	41023
32	2890	40904
33	2976	40796
34	3065	40729
35	3120	40223
36	3204	40101
37	3288	39982
38	3376	39911
39	3465	39847
40	3552	39775
41	3639	39691
42	3718	39515
43	3810	39494
44	3895	39391
45	3984	39325
46	4062	39155
47	4153	39111
48	4234	38975
49	4322	38900
50	4408	38814
51	4489	38679
52	4569	38539
53	4654	38443
54	4736	38322
55	4824	38250
56	4902	38102
57	4987	38011
58	5079	37966
59	5168	37898
60	5248	37770
61	5336	37698
62	5423	37617
63	5510	37538
64	5597	37460
65	5682	37366
66	5768	37281
67	5859	37224
68	5944	37131
69	6026	37020
70	6113	36936
71	6191	36803
72	6279	36728
73	6361	36623
74	6442	36505
75	6530	36430
76	6620	36367
77	6705	36280
78	6808	36281
79	6896	36209
80	6987	36143
81	7078	36082
82	7162	35987
83	7245	35884
84	7333	35804
85	7415	35696
86	7496	35586
87	7584	35508
88	7677	35453
89	7767	35386
90	7859	35325
91	7942	35222
92	8031	35146
93	8113	35045
94	8193	34929
95	8276	34830
96	8366	34758
97	8454	34680
98	8541	34596
99	8626	34504
100	8714	34426
101	8797	34326
102	8886	34252
103	8967	34143
104	9057	34074
105	9141	33976
106	9223	33875
107	9307	33781
108	9388	33678
109	9469	33574
110	9553	33479
111	9640	33398
112	9723	33300
113	9812	33224
114	9901	33149
115	9985	33056
116	10067	32956
117	10155	32874
118	10245	32801
119	10329	32709
120	10418	32633
121	10506	32554
122	10593	32468
123	10675	32370
124	10760	32280
125	10851	32209
126	10938	32125
127	11021	32030
128	11112	31957
129	11192	31855
130	11278	31770
131	11359	31668
132	11442	31573
133	11528	31488
134	11609	31388
135	11691	31291
136	11772	31191
137	11853	31093
138	11931	30987
139	12017	30901
140	12102	30814
141	12191	30735
142	12277	30652
143	12360	30558
144	12443	30466
145	12531	30385
146	12620	30306
147	12702	30211
148	12788	30125
149	12871	30033
150	12958	29950
151	13048	29875
152	13132	29784
153	13212	29685
154	13301	29607
155	13385	29516
156	13473	29435
157	13504	29231
158	13589	29144
159	13673	29055
160	13759	28972
161	13809	28812
162	13888	28714
163	13974	28631
164	14063	28553
165	14169	28510
166	14252	28419
167	14337	28334
168	14430	28263
169	14516	28179
170	14608	28105
171	14696	28026
172	14747	27874
173	14827	27779
174	14907	27685
175	14967	27553
176	15048	27462
177	15128	27367
178	15209	27275
179	15285	27173
180	15371	27091
181	15453	27001
182	15473	26804
183	15556	26716
184	15637	26625
185	15722	26542
186	15804	26454
187	15897	26383
188	15987	26307
189	16079	26235
190	16167	26156
191	16253	26072
192	16342	25995
193	16430	25916
194	16515	25832
195	16600	25747
196	16690	25671
197	16782	25597
198	16875	25524
199	16963	25445
200	17047	25359
201	17132	25274
202	17223	25198
203	17314	25122
204	17398	25037
205	17458	24916
206	17544	24833
207	17628	24747
208	17717	24668
209	17800	24581
210	17890	24504
211	17977	24422
212	18064	24340
213	18149	24255
214	18249	24190
215	18327	24097
216	18416	24017
217	18499	23930
218	18582	23843
219	18667	23759
220	18689	23594
221	18768	23503
222	18852	23418
